trade_date,002415.SZ,159920.SZ,300059.SZ,300750.SZ,510050.SH,510300.SH,510500.SH,511010.SH,513030.SH,513300.SH,513500.SH,513520.SH,518880.SH,600519.SH,688981.SH,019547.SH
2023/11/1,36.17,1.036,15.19,187.54,2.497,3.642,5.615,132.093,1.13,1.326,1.446,1.165,4.603,1780.99,58.21,103.473
2023/11/2,35.87,1.039,15.05,185.57,2.493,3.625,5.564,132.191,1.142,1.357,1.463,1.18,4.613,1779.5,57.31,103.772
2023/11/3,35.81,1.064,15.36,187.44,2.513,3.653,5.605,132.182,1.158,1.369,1.486,1.195,4.61,1811.24,57.86,103.955
2023/11/6,36.93,1.08,15.79,197.08,2.533,3.701,5.7,132.145,1.164,1.384,1.494,1.204,4.587,1812,57.3,103.906
2023/11/7,36.86,1.063,15.67,191.24,2.522,3.69,5.709,132.18,1.148,1.38,1.492,1.186,4.569,1791.17,57.55,103.741
2023/11/8,37.22,1.055,15.57,191.84,2.514,3.679,5.705,132.193,1.143,1.393,1.497,1.178,4.551,1798.34,58.31,103.846
2023/11/9,37.07,1.056,15.54,191.45,2.514,3.682,5.693,132.2,1.164,1.399,1.505,1.2,4.521,1794.11,57,103.884
2023/11/10,37.18,1.042,15.43,189.03,2.49,3.655,5.673,132.205,1.157,1.386,1.493,1.191,4.554,1775.84,54.39,104.01
2023/11/13,37.24,1.044,15.44,187.85,2.484,3.65,5.704,132.363,1.164,1.416,1.513,1.192,4.538,1764,54.24,104.216
2023/11/14,36.49,1.054,15.55,183.68,2.482,3.65,5.728,132.352,1.172,1.42,1.518,1.196,4.558,1765.27,54.65,104.002
2023/11/15,36.65,1.079,15.54,184.48,2.503,3.675,5.765,132.349,1.203,1.447,1.539,1.228,4.577,1772.93,54.32,104.035
2023/11/16,36,1.071,15.29,181.15,2.478,3.639,5.707,132.425,1.214,1.439,1.541,1.216,4.559,1760.05,53.42,104.205
2023/11/17,35.71,1.05,15.3,180.73,2.474,3.634,5.726,132.437,1.218,1.442,1.54,1.231,4.572,1753.42,53.7,104.296
2023/11/20,35.79,1.055,15.25,180.3,2.48,3.645,5.758,132.367,1.214,1.423,1.524,1.222,4.522,1762.5,53.92,104.221
2023/11/21,35.87,1.051,15.2,180.61,2.492,3.65,5.741,132.306,1.218,1.437,1.53,1.225,4.516,1790,53.61,104.176
2023/11/22,35.55,1.044,15,177,2.471,3.611,5.668,132.155,1.212,1.426,1.528,1.216,4.499,1781.51,52.64,104.103
2023/11/23,35.85,1.053,15.05,177.7,2.48,3.63,5.719,131.99,1.213,1.434,1.533,1.225,4.495,1786,53.38,103.922
2023/11/24,35.81,1.041,14.88,175,2.467,3.605,5.673,132.086,1.224,1.436,1.535,1.228,4.499,1777,54.09,103.898
2023/11/27,35.28,1.037,14.82,170.7,2.407,3.581,5.659,132.067,1.226,1.429,1.534,1.228,4.546,1763,54.61,103.79
2023/11/28,35.28,1.031,14.81,171.92,2.406,3.585,5.685,132.055,1.219,1.432,1.535,1.229,4.56,1769.04,54.55,103.999
2023/11/29,35.02,1.002,14.63,166.85,2.395,3.558,5.656,132.007,1.227,1.434,1.532,1.233,4.591,1774.71,53.7,103.962
2023/11/30,34.79,1.007,14.64,167,2.401,3.562,5.637,132.101,1.244,1.434,1.531,1.245,4.589,1791.5,53.7,104.176
2023/12/1,35.5,1.003,14.72,165.5,2.385,3.548,5.664,132.2,1.24,1.428,1.539,1.24,4.589,1760.28,54.15,104.258
2023/12/4,34.9,0.986,14.72,161.65,2.367,3.524,5.652,132.105,1.246,1.429,1.547,1.247,4.643,1750.71,53.18,104.178
2023/12/5,33.8,0.964,14.48,158.81,2.319,3.458,5.565,132.091,1.237,1.413,1.534,1.221,4.58,1709,52.39,104.275
2023/12/6,33.6,0.977,14.41,162.88,2.317,3.463,5.577,132.073,1.255,1.433,1.546,1.254,4.578,1703,51.97,104.213
2023/12/7,33.09,0.968,14.46,164.49,2.307,3.454,5.582,132.144,1.252,1.417,1.533,1.241,4.584,1700,52.67,104.276
2023/12/8,32.65,0.971,14.37,163.59,2.314,3.461,5.594,132.21,1.259,1.44,1.545,1.23,4.591,1704.92,52.55,104.347
2023/12/11,34.18,0.965,14.58,165.35,2.324,3.485,5.656,132.395,1.275,1.449,1.559,1.246,4.557,1698,53.18,104.557
2023/12/12,34.02,0.978,14.51,163.63,2.337,3.493,5.666,132.383,1.272,1.467,1.567,1.242,4.539,1709.99,54.12,104.618
2023/12/13,33.5,0.963,14.18,159.35,2.291,3.435,5.607,132.565,1.274,1.481,1.576,1.261,4.529,1660,53.75,104.82
2023/12/14,33.32,0.969,14.15,156.63,2.28,3.419,5.588,132.441,1.292,1.5,1.593,1.282,4.598,1635.9,53.1,104.983
2023/12/15,33.31,0.988,14.18,155,2.281,3.412,5.544,132.558,1.281,1.482,1.586,1.285,4.59,1645,53.6,105.278
2023/12/18,33.14,0.983,14.16,146.97,2.283,3.398,5.483,132.665,1.274,1.495,1.593,1.283,4.576,1662,53.74,105.526
2023/12/19,33.32,0.977,14.17,149,2.286,3.4,5.474,132.652,1.274,1.507,1.601,1.301,4.589,1675,54.76,105.53
2023/12/20,32.8,0.981,13.86,148.45,2.273,3.369,5.412,132.561,1.284,1.516,1.609,1.34,4.604,1649.79,54.51,105.684
2023/12/21,32.88,0.983,13.92,154.39,2.299,3.4,5.426,132.61,1.271,1.495,1.588,1.302,4.605,1670,54.57,106.221
2023/12/22,32.7,0.966,13.89,156.29,2.307,3.406,5.41,132.787,1.277,1.501,1.597,1.305,4.627,1670.65,54.79,106.543
2023/12/25,32.94,0.973,13.86,157.54,2.308,3.415,5.403,132.895,1.287,1.501,1.6,1.326,4.634,1672,53.01,107.11
2023/12/26,32.8,0.969,13.69,156.13,2.299,3.395,5.356,132.997,1.291,1.515,1.605,1.358,4.647,1670,51.85,106.354
2023/12/27,32.94,0.985,13.42,154.33,2.302,3.405,5.372,133.126,1.294,1.519,1.608,1.336,4.66,1667.06,51.91,106.185
2023/12/28,33.85,1.002,13.96,162.99,2.354,3.489,5.475,133.245,1.293,1.514,1.605,1.322,4.662,1724.99,53.13,106.162
2023/12/29,34.72,0.997,14.04,163.26,2.355,3.499,5.519,133.363,1.282,1.507,1.603,1.318,4.648,1726,53.02,106.212
2024/1/2,33.77,0.988,13.8,156.83,2.327,3.453,5.497,133.252,1.289,1.505,1.607,1.316,4.666,1685.01,52.96,106.117
2024/1/3,33.06,0.984,13.71,155.8,2.332,3.443,5.49,133.217,1.274,1.48,1.595,1.296,4.663,1694,52.48,106.084
2024/1/4,32.58,0.984,13.46,151.2,2.314,3.413,5.446,133.32,1.261,1.473,1.589,1.313,4.651,1669,51.88,106.368
2024/1/5,32.43,0.98,13.28,150.9,2.303,3.396,5.376,133.457,1.258,1.464,1.582,1.3,4.664,1663.36,50.58,106.848
