,002415.SZ,159920.SZ,300059.SZ,300750.SZ,510050.SH,510300.SH,510500.SH,511010.SH,513030.SH,513300.SH,513500.SH,513520.SH,518880.SH,600519.SH,688981.SH,019547.SH,portfolio_aum
mean return,5.171005525858873e-05,-0.0005085632534354255,-0.0013138551196207875,-0.003609457319002265,-0.0004912705387489879,-0.0005020131490413316,-0.00032593461803795073,0.00013586342039341288,0.0009162082633423416,0.0016728020992030437,0.001032088474328656,0.0010311214483292223,0.0006365060213709187,-9.629029786579713e-06,0.0010124995120867769,0.0002803463320302398,-0.000124940449561669
90% VaR return,-0.02365774410990453,-0.01607177451003203,-0.02212005994083195,-0.02335930214714077,-0.010601451877370662,-0.010340359057390476,-0.010467584266789325,-0.0007206496778803436,-0.01147553576686136,-0.012052609565507322,-0.008975378128125924,-0.012903404835907954,-0.006613780722036822,-0.012731973815044845,-0.02257271704508333,-0.00174017589881534,-0.0076988063963458215
95% VaR return,-0.029600469776290633,-0.018893949359961738,-0.029959763673105107,-0.031119305657697126,-0.01379332213233576,-0.013743247556975586,-0.013372338021523279,-0.0012258705593392956,-0.015100958101596824,-0.01604564864318912,-0.012195273093818243,-0.019533529780344255,-0.009941338087847884,-0.017047429613092892,-0.03302712055060962,-0.003142171259980541,-0.010516283497069893
volatility return,0.020556000380007673,0.012245257715526496,0.024978931657472146,0.03977025167118416,0.008993822534990125,0.008363302979541912,0.007956318312933685,0.0008213307612402696,0.010140813444661171,0.011215773931804576,0.00808992382655029,0.014826214670446553,0.006165523572383051,0.012962244261448303,0.02384579015652233,0.0019790985052423053,0.007690437458430719
max_drawdown (close price),0.3152900582273021,0.20544554455445546,0.425513698630137,0.6917575503355705,0.2021762021762022,0.19881093935790722,0.1728185328185328,0.0096094374632292,0.13653995345228856,0.10562414266117964,0.08113329040566639,0.1883954154727793,0.05354810622551163,0.14846568038057398,0.29422382671480146,0.02681478824717547,0.12207482280643911
