,port,mas,mmv
2023/1/3,115.987908861826,61.74660698208727,123.29521787375053
2023/1/4,115.840260321209,62.01204332375114,123.5055998199078
2023/1/5,119.114344146318,62.05219242735047,123.44838573648144
2023/1/6,119.38523050732002,61.97083785937707,123.19809109621572
2023/1/9,120.60987387190501,61.93559419185376,123.20320538183431
2023/1/10,121.437609356497,61.84833212926407,123.1337630962194
2023/1/11,120.934096651642,61.7842350256144,123.00427744371653
2023/1/12,120.77818712681801,61.87307123024169,123.03873341969376
2023/1/13,122.775365012321,61.863030338258056,123.06886489724451
2023/1/16,123.74470457820502,61.611348432978644,122.97463128609995
2023/1/17,123.61379765398202,61.68414344616479,122.98372037001454
2023/1/18,123.185736976687,61.65879033165607,122.96569260425235
2023/1/19,122.81207736802901,61.691923778506464,122.99517748697775
2023/1/20,122.35361751017902,61.7891417492877,123.11607514894952
2023/1/30,123.796300458442,61.7618400303462,123.1184582466986
2023/1/31,122.196679417377,61.8011578508289,123.10084378776205
2023/2/1,122.600581395728,61.839430294976665,123.15198505463498
2023/2/2,122.012976989365,61.8802152499513,123.23068263625986
2023/2/3,121.15987909266101,61.92856832892778,123.2713842820995
2023/2/6,120.2099937808,61.95322318764358,123.20863374296384
2023/2/7,120.22131014638,61.92738042888263,123.22680487404124
2023/2/8,119.70393021100199,61.88898850822251,123.26644715260606
2023/2/9,121.08407973916698,61.91117949111269,123.2793189363401
2023/2/10,120.571902019127,61.91644233633372,123.32572437574223
2023/2/13,122.52400039790298,61.92056792277916,123.33855081408151
2023/2/14,121.841086689024,61.92664562555836,123.34118792063175
2023/2/15,121.663784041483,61.93210790466426,123.34510172867842
2023/2/16,122.23475559511101,61.9646110135317,123.33169105021176
2023/2/17,120.16756622529599,61.97404229264349,123.34039763381003
2023/2/20,122.05244705439601,61.908011917815045,123.25520834509368
2023/2/21,121.641097800073,61.913413061989594,123.21609448783461
2023/2/22,120.453319101711,61.96918658015964,123.2378196588125
2023/2/23,119.96232685022702,61.99621988925085,123.23630135278354
2023/2/24,118.69208659584802,61.976773352308136,123.23583679053522
2023/2/27,119.18153656804601,61.81298277608307,123.21418180523465
2023/2/28,119.49126828986901,61.918154681061864,123.19861344131986
2023/3/1,120.60496899675701,61.91481950047943,123.21012825106226
2023/3/2,119.91643775363102,61.89935938866896,123.23470693244508
2023/3/3,119.665827711721,61.92020460273576,123.2195075956737
2023/3/6,119.52073607067801,61.9805833392946,123.30440314880366
2023/3/7,118.67782087562,62.03299604207739,123.3957312157219
2023/3/8,117.97240544403002,62.04881365092581,123.46028744305096
2023/3/9,117.99695512339201,62.16432977239788,123.47772006603259
2023/3/10,117.62933949704701,62.29355695786078,123.52410262553448
2023/3/13,117.66625830943201,62.23968560038574,123.51881640909639
2023/3/14,117.819129299473,62.373384392123675,123.5583468923891
2023/3/15,117.40276536634002,62.43547986732368,123.52937752270722
2023/3/16,117.420075554079,62.59416823436147,123.58374352799986
2023/3/17,117.146006148108,62.85053164249914,123.65107472623279
2023/3/20,116.908765118703,62.95614616873975,123.73271047697249
2023/3/21,118.776447603001,62.877041273390304,123.67679268014241
2023/3/22,118.90937245870802,62.88860842855391,123.66978790786716
2023/3/23,118.985583505396,62.84549293427918,123.64681802681717
2023/3/24,118.876107238684,62.72229725351714,123.59599211628621
2023/3/27,118.62000598466301,62.82802340937904,123.60601405098316
2023/3/28,118.94789498344599,62.87684709883952,123.62677789396577
2023/3/29,119.43237362636799,62.8418793836864,123.65454936332246
2023/3/30,119.71968868891301,62.82415531239314,123.68900519794182
2023/3/31,120.625474678785,62.85062870773368,123.70015707081343
2023/4/3,119.99668531069801,62.85904794814356,123.69483711084695
2023/4/4,120.25771029905201,62.91618988034273,123.73560273595518
2023/4/6,119.69633787814399,62.96035846807436,123.77280153116416
2023/4/7,119.69453473738301,63.02664746653002,123.80623623478607
2023/4/10,119.381621232303,63.0793629678895,123.91073269568665
2023/4/11,118.43602373697601,63.13812177341535,123.95344861722809
